圖名,點名,等級,圖號,標石號碼,標石種類,經度-度,分,秒,緯度-度,分,秒,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
國姓,小埔山,2,9521-2,內補052,花崗石,120,55,58.7150,24,0,58.7669,611.607,243180,2656840
國姓,八幡崎,2,9521-2,內補020,花崗石,120,54,59.9923,24,2,55.1774,699.245,241520,2660420
國姓,大橫屏山,2,9521-2,1119,花崗石,120,49,14.8481,24,4,36.0934,1205.560,231770,2663530
國姓,阿冷山,2,9521-2,1546,花崗石,120,56,15.7232,24,8,30.9881,1539.998,243660,2670750
國姓,頭科山,2,9521-2,1120,花崗石,120,47,31.1506,24,10,52.0429,859.395,228860,2675100
國姓,大平籠,2,9521-2,1110,花崗石,120,52,20.5136,24,12,12.4449,1179.619,237030,2677570
國姓,稍來山,2,9521-2,1543,花崗石,120,57,47.8056,24,14,21.7164,2307.488,246270,2681540
台中市,崩崁,2,9521-3,1132,花崗石,120,35,35.2856,24,1,0.3947,256.348,208600,2656950
台中市,大地公坑,2,9521-3,內補16,花崗石,120,33,6.4266,24,3,7.8406,116.401,204410,2660880
台中市,阿罩霧,2,9521-3,1136,花崗石,120,42,19.3917,24,3,46.7463,249.413,220030,2662030
台中市,賴厝廍,2,9521-3,1103,花崗石,120,39,44.9206,24,10,24.0089,108.679,215700,2674270
台中市,大肚山,2,9521-3,內補008,銅標,120,35,23.8755,24,12,50.4752,313.032,208350,2678790
台中市,聚興山,2,9521-3,1124,花崗石,120,44,4.4891,24,13,18.8720,500.415,223040,2679630
台中市,草湳,2,9521-3,1145,花崗石,120,30,53.3145,24,14,59.7810,2.959,200730,2682790
大甲,大社,2,9521-4,內補013,花崗石,120,40,49.5939,24,15,35.4403,187.508,217550,2683840
大甲,高美,2,9521-4,內補015,花崗石,120,33,22.6845,24,19,32.1517,18.172,204970,2691160
大甲,溫寮,2,9521-4,內補083,花崗石,120,35,51.2662,24,25,6.6504,1.751,209180,2701440
大甲,大坑尾,2,9521-4,1099,花崗石,120,44,32.1431,24,25,24.7528,472.903,223860,2701960
大甲,虎頭山,2,9521-4,1149,花崗石,120,40,36.0682,24,29,43.8600,93.421,217230,2709940
